reviewAt,code,nickname,comment,avgScore,helpfulCount
2023.11.05,85926,cd0**,"사진은찍지  못했지만   두번째   이용했는데   편하고
깨끗하고   소음등   없이   푹자고  좋았어요   넷플
티빙  디즈니등 다양한  방송을  볼수있어  좋고요  
가격대비   객실잊 좀  작은편에  속한거   빼고는  접근성등  다  좋아요",5.0,0
2023.08.04,85926,ell**,"조그마한 핏자국(침대, 커튼) 말고는 깨끗하고 널찍해서 좋았음 욕조도 깨끗하고 바디워시향도 괜찮음. 수압도 센편이라 목욕하기 좋았음. 로비도 별로 모텔같지 않았음. 재방문의사 있음.",4.8,1
2023.07.09,85926,ppk**,"강남 역삼쪽 갈땐 선택지가 없네요
좀 싸면 너무 구식이고, 호텔급은 가격이 두배 가까이 가는데 가성비는 떨어지고..
그래서 늘 이용합니다.
깔끔하고 객실 관리 잘 되어있습니다.
단, 아침에 주변 공사소리는 이해가 필요하겠습니다.",5.0,0
2023.06.18,85926,kjy**,"시간이 좀남아 잠시 쉴곳을 찾았는데 기대 이상이었어요! day use로 4시간 대실, 혼자 넷플릭스 유튜브보고 샤워하고 일하는데 침구도 좋고 깨끗해서 다음번엔 숙박으로 와야겠다고 생각했습니다. 담배냄새 없는게 제일 좋았어요! 감사해요.",5.0,0
2023.06.03,85926,cd0**,"접근성등은  좋았어요   직원들도  친절에    조용해서  꿀잠도  잠요ㅋ넷플.티빙  다양한  방송을  볼수  있어  좋았고요    욕실 환풍구  소음이   심하긴  했어요    객실문  안전장금장치  있어서   혼자  여행하시는 분들   안심하고  주무셔도  될듯요ㅋ  침구등에서는   특유의  모텔  냄새는  나지않게   좀  신경써주시면  좋겠네요    
전체적으론  나쁘지는  않았어용  잘  쉬었다  갑니당~^^",4.5,1
2023.02.28,85926,dng**,방이 깔끔하고 직원분들이 친절하셨어용 제가 이번 여행 하면서 잤던 방 중에서 제일 깨끗하고 제일 좋았고 물도 엄청 잘 나왔습니다 ! 이불에 살짝 얼룩이 묻어있었는데 이거 빼곤 다 깨끗했어요 다음에도 또 이용할게요 ㅎㅎ,4.5,0
2023.02.07,85926,ppk**,"두번째 방문, 만족함
지난번 대실방문도 만족했고
이번엔 숙박으로 예약함.
담배냄새 안나고 화장실 깨끗 침구 편안
아침에 공사장 소음이 좀 거슬리긴 하나 그건 모텔잘못이 아니니 이해함
담에 강남가면 또 방문예정",5.0,0
2023.01.21,85926,uxm**,"전반적으로 깔끔하고 좋았어요 
공사장 소음 걱정했는데 방은 조용하더라구요
냄새도 안나고 편안하게 잘 있다가 왔습니다.
청소 조금만 더 꼼꼼히 해주시면 완벽할 것 같습니다!
근처 오면 또 여기로 올 것 같네요",4.5,0
2022.12.30,85926,ppk**,"깔끔하고 아늑했습니다.
전반적으로 좋았습니다.
화장실도 깔끔하고 숙소 청결도도 좋았습니다.
방에 큰  침대가 꽉차는 구성이라 침대만 이용하시는 분들에게는 최적의 선택이라 생각합니다.",5.0,0
2022.12.21,85926,swe**,"깨끗하고 포근해서 좋은데 
건조해서 가습기가 있었으면 좋겠어요
아침에 공사소리로 너무 시끄러워서 잠을 못자겠던데 겨울에 건조하고 아침에 시끄러운 것 빼고는
인테리어랑 너무 좋습니다",5.0,0
2023.09.09,85926,art**,침구 폭신하고 방도 아늑해요. 인테리어도 딱 요즘 스타일. 그런데 밖에 소음은 어쩔수 없나봐요 늦게까지 시끄러웠어여,4.3,0
2023.08.13,85926,ces**,"룸이 넓어서 좋았고 티비도 커서 보기 편했습니다.
넷플릭스 이용도 무료로 할 수 있어서 좋았습니다.
또 이용할 예정이예요",4.0,0
2023.07.17,85926,bjw**,"가성비 대비 전반적으로 깔끔은 합니다만,
침구류 위생에 좀더 신경써주셨으면 하고,
굳이 좀 더 바싼방을 예약했는데, 제손으로 직접
스타일러 물까지 갖다 버리는 건 별로더라고요,
그외 다른 부분들은 쾌적했던 것 같습니다.",3.3,0
2023.03.18,85926,ski**,위치도 좋고 특히 인근의 특유의 모텔 느낌?이 안나서 선택했는데 좋았습니다. 청소상태는 재점검이 필요합니다. 들어가자마자 여자 머리카락이 여기저기 떨어져있는걸 보고 기분이 좋지 않았습니다.,4.0,0
2023.04.25,85926,033**,룸컨디션은 좋았구요 일정이 이틀동안이나 있어서 딸래미가 가봤는데 좋다고해서 갔는데 룸컨디션좋고요 다만 냇플연결하는데 안되가서 두번씩이나 직원분이랑통화하고 다지 조작을 홰봤는데 이상게 연결이안되서 짜증난생태에서 이것저것해봤는데 되더라고ㅎ 진짬뺐네요 빨리 더글로리봐아하는데..  어쨌든 잘뵜구요 짐대는 하드랑소프트 중간이라고생각하심될듯요 전만족했어오 근데 베개가 높더라고요 전잠리도그런데  특히 배게에 민간하거든요 근데 여긴 베개가 저랑 안맞았나봐요 딸두인정하더라구요 베개빼곤 만족했어요,3.8,0
2022.10.15,85926,jeu**,"새로 지어서 노후화 된 느낌은 없지만 벽이나 구석진 곳은 청소가 잘 되지 않는 느낌이였어요..

침대가 편해서 숙박하기엔 큰 문제 없으나 소음은 어느정도 감안해야 할 것 같습니다

화장실 공간에 조금 협소해 문을 닫아야 세면대 사용이 가능해요",3.5,1
2023.11.03,85926,big**,깔끔하고 괜찮은곳입니다~^^,4.5,0
2023.10.29,85926,kuj**,침구가 깨끗하고 푹신하며 신라보다 청결해요,4.5,0
2023.09.13,85926,als**,항상 잘 이용하는 곳입니다~~~ 이번에도 만족스럽게 잘 이용하규갑니당^^,5.0,0
2023.03.09,85926,nfw**,시설 좋고 위치 접근성 좋았어요 그런데 큰 차량은 주차비 만원 따로 발생하는 거 제대로 고지 안 되어있어서 기분이 좀 그랬어요. ㅜ,4.5,0
2022.08.16,85926,cse**,카운터에 냉장 보관할 물건을 맡겼는데 흔쾌히 받아주셔서 너무 감사하했습니다. 직원분들 친절하시고 방도 깨끗해서 편하게 이용했습니다!,5.0,0
2023.04.14,85926,sna**,"인테리어는 깔끔하고 괜찮아보이긴 했으나, 로비에서부터 코를 찌르는 특유의 모텔 방향제 냄새 때문에 힘들었습니다. 로비 뿐만 아니라 방 안에서도 나더라구요 그 시큼달달한.. 대실 손님들 냄새 빼느라 그런건 알겠지만 너무 역하게 느껴졌네요.. 화장실이 제일 깔끔하고 괜찮았던 거 같아요.",3.0,1
2022.08.22,85926,dre**,방에 스타일러 있는건 좋았으나 관리가 안돼 있어 물통에 물이 차있어 내가 버리고 사용하는데 물이 오래 돼보였습니다 화장실 블라인드 내리니 물이 그대로였고 세면대에 물때도 보였습니다 12시 체크아웃인데 11시20분에 전화해서 12시 넘기면 1시간에 2만원이라고 저희가 체크아웃을 넘긴 것도 아니고 시간 되기 훨씬 전부터 전화해서 저런 식으로 애기해서 기분이 나빴습니다,2.5,5
2023.08.10,85926,woo**,깨끗하고 좋앗어요  쾌적하구!!,5.0,0
2023.07.29,85926,lim**,스위트룸 좋았어요. 티비가 엄청 커서 영화보고 쉬었습니다,5.0,0
2023.07.27,85926,the**,"친절하고,양심적입니다.
어플예약이 미숙하여 버벅거렸는데, 친절히 응대해 주셨습니다.",5.0,0
2023.06.13,85926,ppk**,"세번째 방문합니다.
갈 때마다 성공적인 곳
잘 쉬다 갑니다.",5.0,0
2023.05.17,85926,bks**,침구도 깨끗하고 들어가서 담배냄새도 안나고 쾌적하고 티비도 크고 좋았어여!!!,5.0,0
2023.05.16,85926,zae**,"수압 쌔고 침대 푹신하고 
인테리어도 깔끔해서 정말 잘 쉬었습니다",5.0,0
2023.04.21,85926,dau**,전반적으로 룸 컨디션이.좋았습니다. 침구류도 좋았고 큰 tv스크린에 넷플릭스까지 제공되어 좋았네요.,5.0,0
2022.07.23,85926,chu**,"침구 깨끗하고 편안했습니다.
신축 건물냄새는 느끼지 못했고
접근성등 위치 시설 매우 만족입니다.
특히 베개가 엄청 편하네요!",4.8,0
2023.09.09,85926,ckw**,주차를 직접해주셔서 편리했어요,4.0,0
2023.08.26,85926,clx**,접근성이 뛰어나고 직원분들이 친절합니다,4.0,0
2022.07.29,85926,gre**,전체적으로 깨끗하고 좋았어요 화장실 문이 안닫히는 문제가 있긴했는데 그 외에는 소음도 없고 편하게 숙면하고 갔어요  만족만족,4.3,0
2023.11.02,85926,vic**,다른 지점에 비해 상태가 너무 별로..,2.0,0
2023.07.13,85926,bks**,깨끗하고 좋아여!! 추천합니다,5.0,0
2023.06.30,85926,als**,굉장히 깔끔하구 좋아요 항상 애용하는 곳입니다><,5.0,0
2023.06.22,85926,wou**,기대이상으로 괜춘하서 놀램,5.0,0
2023.06.13,85926,bks**,오랜만에 갔는데 여전히 깨끗하고 친절하세용,5.0,0
2023.06.04,85926,kyk**,깔끔하고좋아요!!!!!,5.0,0
2022.11.14,85926,swe**,직장이랑 가까워서 일끝나고 갔는데 너무 깨끗하고 좋았습니다. 또 오고싶네요,5.0,0
2022.10.19,85926,cym**,합리적 가격에 시설도 훌륭해서 다음에도 재방문 하겠습니다,4.5,0
2022.10.07,85926,kim**,엄청 깨끗하고 좋았어요! 방음이 조금 안되긴했지만 푹 잘자고왔어요!,4.5,0
2022.08.25,85926,chk**,"디자인이 센스있고 예쁜 숙소였습니다
직원들이 친절하기까지 했어요!",5.0,0
2022.05.25,85926,kkh**,"방이 깨끗하고 좋았어요!
직원분들도 넘 친절하시구요^^",5.0,0
2022.05.02,85926,ycs**,침구도 깨끗했고 무엇보다 티비가 굉장히 커서 넷플보면서 쉬기 딱 좋았어요,5.0,0
2023.05.29,85926,che**,그냥 딱 평균인 것 같아요‘,4.0,0
2023.05.16,85926,sou**,방 너무 크고 너무 편리해요,4.3,0
2022.08.15,85926,any**,화장실청소가 잘 안되어있어서 못볼껄봤지만 그거빼고는 만족합니당,4.3,0
2022.06.27,85926,jys**,방아 깔끔하고 티비도 커서 좋았는데 샤워할때 물이 잘 안빠져서 아쉬워요,4.3,0
2022.06.26,85926,agn**,침구도 깨끗하고 좋았는데 방이랑 로비에서 담배냄새가 좀 나서 아쉬웠어요,4.3,0
2022.04.18,85926,nic**,"편하게 잘 쉬다 갑니다.
다만 방향제 냄새가 다소 강했습키다",4.0,0
2023.07.26,85926,mgw**,"들어가자마자 담배냄새 나고, 샤워기 걸이위에 칫솔 올려져있는거 보고 할말을 잃었습니다",2.3,0
2023.01.27,85926,sel**,역삼역 쪽에서 호텔제외하고 제일 괜찮은 숙소인 것 같아요~ 잘 쉬다갑니당,3.8,0
2023.01.03,85926,woo**,다른건 다 좋았는데 김치냄새 같은 냄새가 계속 났어요 환기가 잘 안되는듯 합니다,3.8,0
2022.04.20,85926,new**,"신축냄새 빼고 시설 양호

복도 / 옆방 쿵쿵 소리 

소음 예민하신분들 참고",3.8,0
2022.04.14,85926,new**,"방음이 잘안되어 시끄럽고
새로지어서 특유의 냄새나 환기시켜야 함
그외 시설 만족",3.5,0
2023.05.02,85926,bks**,깨끗하고 룸이 이뻐서 줄겁게 쉬다 왔어요,5.0,0
2023.04.05,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2023.03.30,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2023.03.24,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2023.03.19,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2023.03.16,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2023.03.13,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2023.03.08,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2023.02.25,85926,lon**,침구가 너무 깨끗하고 고급진.호텔같았어요,5.0,1
2023.02.12,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2023.01.22,85926,sk8**,제일 깔끔하고 티비 커서 좋아요,4.5,0
2023.01.08,85926,rab**,"깨끗하고 친절해서 좋았습니다 
살짝 추웠어요",5.0,0
2023.01.02,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2022.12.22,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2022.12.13,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2022.12.07,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2022.12.06,85926,bom**,4일 따로따로 연박 햇는데 져앗어여,5.0,0
2022.11.30,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2022.11.27,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2022.11.18,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2022.11.04,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2022.11.02,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2022.10.22,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2022.10.19,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2022.10.17,85926,amo**,깨끗하고 좋았어요!!!,5.0,0
2022.09.30,85926,bas**,가격이나 전체적으로 괜찮았습니다,5.0,0
2022.09.28,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2022.09.18,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2022.09.07,85926,rab**,친절하고 깨끗해서 좋았습니다,5.0,0
2022.09.07,85926,min**,침구가 편안하고 시설이 다 깨끗하고 좋았어요!!,5.0,0
2022.08.31,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2022.08.27,85926,pki**,편하게 쉬었습니다 감사합니다,5.0,0
2022.08.20,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2022.08.13,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2022.08.03,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,0
2022.07.28,85926,jsh**,깨끗해서 좋았습니다.,4.8,0
2022.07.16,85926,man**,깨끗하고 좋아야 ㅎㅎ !,5.0,0
2022.07.15,85926,rab**,깨끗하고 친절해서 좋았습니다,5.0,1
2022.07.09,85926,cha**,잘쉬었다갑니다 감사합니다,5.0,0
2022.07.03,85926,san**,너무 만족스러움...,4.8,0
