reviewAt,code,nickname,comment,avgScore,helpfulCount
2023.08.24,70392,eas**,"업그레이드 해 주시는 등 서비스와 친절함이 좋았고, 조용해서 편히 쉴 수 있었습니다.
다만, 담배 냄새가 조금 난 것이 아쉬웠습니다.",4.5,0
2023.05.26,70392,gan**,출장왔다가 강남쪽에서 혼자 자야해서 예약했습니다. 역삼에서 회식하고 12시 넘어 입실했는데 깔끔하고 좋았어요. 또 큰길이랑도 가까워서 안전한 느낌 좋았습니다😊 다만 아침 10시쯤 소화전 벨 자꾸 울려서 신경쓰였는데 그런부분만 좀더 점검해주시면 좋을것 같아요!,4.3,3
2021.12.15,70392,chl**,"강남권이라 그런지 럭셔리하고 깨끗했어요 ㅎㅎ
티비로 넷플 웨이브 다 돼서 재밌게봤구여!
(첨엔 연결안되서 애먹었다는 ㅜㅜ)
원래 디럭스였는데 프리미엄으로 업그레이드 시켜주심 ㅠㅠ 감사합니다
넓찍한방에서 푹 쉬다가요 ㅎㅎ
또 올게요!",5.0,2
2021.08.03,70392,dan**,"비지니스로 한달에 3-4회는 숙박하는곳!
목디스크와 섬유알러지가 있어서 힘들었는데 이곳은 정말 편안한 잠을 선사해주는 침구가 갑 입니다.
직원분들도 항상 친절하신 참 편안하게 이용하는 곳입니다",5.0,3
2018.11.26,70392,sss**,침구 정말 나무랄데가 없더군요~^^ 파티룸은 생각보다 작았습니다  겨울이라 보일러를 빵빵하게틀어주셔서 따뜻하게 지내다 갔습니다 룸을 2개를 잡았는데 한곳에는 먹던생수가 반 들어있더라구요 ㅜㅜ 그것만 신경써주셨으면 완벽했어요~ 옆골목 주차가능 모닝 김치찌개 굿굿굿!!,5.0,2
2018.10.14,70392,dae**,"주차공간이 없어서 차를 바꿔서 주차를 해주어서 감격했읍니다.
주차해주신분 사랑합니다.
침대도  최고의 제품을 사용해서 그런지 
아침에 개운하게 일어나 하루가 힘이 납니다.
사랑합니다.",5.0,2
2018.05.06,70392,sks**,강남역에서 부랴부랴 걸어서 땀흘리며 찝찝하게 도착했는데 호텔처럼 좋은 디자인과 함께 방 업그레이드를 해주셔서 기분좋게 입실했습니다. 욕조에서 밀린 피로도 풀고 편하게 쉴수있는 시간과 로비에 있는 물을 편하게 맘껏 가져다 마셔서 좋았네요. 얼음컵도 구비되있는 센스 ㅎㅎ. 가끔 옆방에서 물을 쓸때 소리가 나기는 하는데 이부분은 늦은시간 조심해야될수도ㅠㅠ 그래도 최고의 시간을 가지고 돌아가요!,5.0,2
2018.03.14,70392,fru**,야근때문에 근처 숙소를 알아보다 평점이 괜찮아서 선택했지만 큰 기대는 하지않고 갔는데 디퓨저가 곳곳에 배치되어 은은하고 세련된 향이 맘에 들었고 무엇보다 룸 컨디션과 침구가 아주 맘에 들었습니다,5.0,3
2017.10.29,70392,lin**,"친구들이랑 생일 파티하려고 잡은 호텔이었는데, 분위기도 좋았고 방도 너무 깔끔하고 모던한 느낌이라 즐겁게 1박2일로 다녀왔습니다 ~~^^ 제가 직접 호텔을 찾고 예약했는데 친구들이 예쁘다고 해줘서 더 기분이 좋았습니다. 아쉬운점은 주말이라 입실시간이 늦다는 점..? ",4.8,1
2017.08.28,70392,yaj**,"친절하게 안내해주시고 방도 업그레이드 해주셨어요. 편하고 조용하게 잘지내고 왔습니다. 
다른 후기에서 봤는데 변기가 침대에서 바로 보이는 위치라 (변기 청소 상태 안좋았네요) 그 점이 불편한것빼곤 괜찮았어요. 
",4.5,2
2017.08.19,70392,ore**,"생긴지 얼마안되서 그런지 깨끗해요 ! 침구가 정말 폭신해서 너무너무 잘잤습니다. 그치만 협탁같은곳은 먼지가 좀 쌓여잇어서 뭘 올려놓기가 좀그러더라구요.
그리고 스탭옆방에 위치해서 그런지 소음이 조금 있었습니다. 어메니티도 수준급이엿어여!!가격대비 좋아요~~",5.0,1
2017.05.24,70392,jjy**,깨끗하고 좋았어요 비치된 물품들도 아미니제품이고 나쁘지 않았어요 침구가 정말 편합니다 조식은 안되는점이 아쉽지만 큰 뷸편 없어요. 차가지고 오는 사람들은 길이 좁아서 여기가 맞나?? 싶은쯤에 호텔입구가 있어서놀랄거에요. 다행히 발렛해줍니다 그건 좋아요. 재방문 의사있음!,5.0,0
2017.01.22,70392,bre**,생각보다 방음은 잘 안돼요. 하수도 물 소리도 심하고 낮은층은 하수구 냄새도 좀 올라오는거같아요. 그 부분들만 빼면 침대도 푹신하고 방도 깨끗하고 어메니티 구성도 다양해서 좋았어요. 위치도 역에서 가까워서 좋구요. 가격대비해서 만족스러웠어요.,4.5,1
2016.12.25,70392,sun**,"사장님이 방 업그레이드도 해주시고 ㅠㅠ 정말 착하세용
깔끔하고 무엇보다 배달도 바로 방문까지 오고 
3명이서 갈때는 무조건..스위트로!!! 스위트가 딱 적당해서 그 아래는 좀..작을듯해요 ! (3명은 2만원 추가요금있어요 ..ㅠ )
욕조가 덩그러니 나와있어 .. 목욕은..못하는걸로..ㅎ",5.0,2
2016.12.23,70392,dya**,"객실여유가있다며 업그레이드도 해주고 방도 생각보다 깨끗하고 깔끔했다.
무엇보다도 침구가 뽀송뽀송하니 1급 호텔 못지 않았다는 점이 가장 맘에 들었던 부분이다.
업무에 지친 심신을 힐링 할 수있었음",5.0,2
2023.08.25,70392,ska**,오후와 저녁시간 사이가 붕뜨고 피곤해서 대실햇는데 쾌적하게 쉬다 나왔네요. 중간에 소나기도 내렷던데 걱정없었습니다 ㅋㅋㅋㅋ,4.0,0
2021.05.20,70392,lov**,"방은 깔끔하고 좋았는데 방음이 너무안됩니다.
쿵쿵 걸어다니는 발소리,
그리고 물이 흐르는 하수도소리인가요?
저희방 씻는사람도 없는데
물틀어서 쏟아지는 소리가 계속 들렸네요..ㅠ
그리고 화장실바닥이요...
너무 미끄러워요. 조심안하면 넘어질수있으니
조심해야될것같더라구요...

분위기.조명.시설은 좋았습니다.",4.0,4
2017.01.26,70392,cut**,"5성급 호텔 침구류에 룸컨디션도 좋았어요. 네명이서 놀기 정말 적합했어요.다만, 부엌 서랍쪽에서 나는 냄새가 좀 아쉬웠고 그릇이 좀 있었으면 했어요. 다른 부분은 정말 좋았습니다.^^",4.0,1
2017.01.11,70392,key**,대체로 깨끗 했으나 환기를 시키지 않았는지 담배냄새가 너무 많이 나서 애들과 함께 들어가는데 좀 불쾌했네요.   미리 예약을 했었고 이른시간도 아니고 9시 되어서 체크인 했는데 환기도 안 시키고 방향제 냄새에  담배냄새에... 다른룸으로 대체 시켜주지도 않고... 애들과 함께 하기에는 좀  아쉬운 면이 있었네요.,4.0,1
2021.04.11,70392,zxc**,"분위기는 깔끔하고 좋았으나 식탁에 자국 그대로 컵에는 립스틱 자국 그대로 욕조는 갈색 얼룩과 때가 그대로 
로얄스위트는 예약한건 그만큼 좋은곳에서 쉬고 싶었던건데 청소가 안된 상태인듯하여 그부분이 아쉽
시설이나 접근성 다른건 좋았어요",3.5,1
2018.11.25,70392,hye**,원래 여기에 묵으려던 계획은 아니었고 전에 예약해놨던 숙소가 방에 문제가 생겼다고 밤 11시에 연락주시는 바람에 급하게 새로 잡은 숙소인데 스위트로 무료업글까지 해주셔서 기분좋게 방에들어와서 기분좋게 샤워하러갔는데 온도조절이 잘 안돼서 차가운물나왔다 갑자기 너무 뜨거워지고 다시 차가운물나오고 해서 샤워가 너무 힘들었네요ㅠ 그 부분만 제외하면 굉장히 좋았어요 립앤아이리무버가 적셔진 티슈도 있었구요 고데기도 있었구 물온도만 아니면 정말 좋았어요,3.5,3
2017.08.17,70392,asd**,그럭저럭 나쁘지 않았습니다. 장타올에 먼지가 있고 화장실부스 샤워부스가 개방적인게 부담스럽긴 했지만 수압약해서 변기물이 잘 안내려가는게 제일 부담스러웠습니다. 나머지는 쏘쏘했어요-,3.8,1
