reviewAt,code,nickname,comment,avgScore,helpfulCount
2023.06.26,70287,zka**,정말 오랜만에 예약한 카파쓰 호텔 ❤️늦은 시간 체크인이엿는데 도착하자마자 환한 미소로 직접 나와주시며 친절한 주차 안내 서비스에 먼저 감동 받앗고 룸업그레이드에 또한번 감동받앗어요 ^^감사합니다 호텔 내부는 큼직한 편이고 침대 굿👍침구류도 만족스러웟고 외부음식을 편하게 먹을수 잇는 2인 쇼파가 두개나 잇어서 불편함 없이 꿀잠 잣어요 숙소가 고민이시라면 접근성 좋은 위치에 잇는 카파쓰 호텔에서 주무셔보세요 ^^후회하진 않을거예요 재방문의사 200%,5.0,0
2023.05.06,70287,gus**,"it was a very comfortable and tidy room!
they have heartwarming welcoming, and i had a great time staying at this hotel
the jacuzzi was also fantastic
i recommend this hotel 🙂

호텔리어분이 너무 친절하셔서 좋았어요
잘쉬다 갑니다. 여자친구가 너무 좋아했고
24살 딸이 있으신 호텔리어분 37살 갔다고 전해달래요ㅋ 감사합니다",5.0,0
2023.05.01,70287,som**,"클래식으로 예약했으나 직원분께서 스위트로 업그레이드 시켜주셔서 감사했습니다^^
전체적으로 깨끗하고 티비도 크고 넷플릭스가 되어 휴식하기 너무 좋았습니다. 
엘리베이터가 2개라 이동이 빠르며, 주차는 호텔에 전화했더니 직원분께서 직접 나와 알려주셨습니다.
욕실도 깨끗했고 
방이 전체적으로 넓직하고 구조가 좋아 티비를 보면서 먹을 수 있어 좋았습니다! 재방문하고 싶어요 :)",4.8,0
2022.08.26,70287,moo**,"전체적으로 조명이 어두운데 잠을 잘잤어요
근처에 편의점도 있고 10분정도 도보로 역삼역도 갈수있어서 괜찮았어요 주차는 협소한데 직원분들이 안내를 잘해주세요 욕조는 스파버튼은 작동하지 않더군요.. 스파버튼옆에 청소가 잘 안된건지 체모가 있어서 깜짝놀랐네요. 그리고 드라이기는 코드가 안맞아서 보니 하나가 휘어있어서 드라이기를 사용하지 못했습니다.",4.5,5
2021.10.01,70287,sos**,역삼역에서 가까운 편이고 가격 저렴하고 방도 큰편이고 큰 욕조도 있는데 소파는 칼로 벤것같은 ?흔적이 있고 이불도 핏자국이랑 얼룩이 좀 있었고 천장이 뭐라고해야되나 인테리어가 덜 된것처럼 노출되어있고 방음이 안된다고보긴했는데 위에 티비소리가 새벽내내 다 들려서 좀 골때렸네요 여튼 가격대비 만족합니다,4.5,8
2020.10.14,70287,iam**,"얼리체크인때문에 문의 전화를 드렸었는데
데스크에 직원분이 너무너무 친절하셨어요. 
체크인때도 친절하셨구요. 
룸도 청결했고 저는 불편없이 이용했습니다. 
두번째 방문이라 찾는데 어려움없었고 익숙했어요. 
강남쪽에 일있으면 재방문 의사 100프로입니다.",5.0,4
2020.02.17,70287,rac**,"다른 일정 이후에 방문 해서 10시가 다된 late check-in 진행 했는데, 차량도 직접 주차타워 넣주시고 호텔리어 분들도 친절히 안내해주셔서 좋았어요!
객실도, 욕조도 넓어서 잘 사용했어요. 대신에 룸 내부에 욕조가 있다보니, 개념없이 늦은 시간에 욕조 사용하는 다른 룸 때문에 밤에도 물 소리가 들렸어요. 다소 방음이 잘 안되는 것 같아서 아쉬웠어요.
룸 조명이 하나만 켜도 엄청 밝고, 끄면 아무것도 안보이고 중간이 없어서 개인적으로 한쪽에 핸드폰 후레쉬 켜서 간이 조명 사용하고 잤어요!

* 여자친구가 잘 때 예민하다보니까 실제로 편히 잘 자고 왔는데 후기에는 투정만 가득한 것 같네요. 위치, 룸 컨디션 대비 가성비도 좋고 다음에도 기회되면 또 숙박하고 싶어요!",4.8,0
2019.09.15,70287,zem**,"이벤트 가격으로 최고의 가성비

단점
식당이 약간 비좁음 , 메뉴선정 고려해야할듯(볶고 냄새나는 음식말고 샐러드 및 미리준비할수있는것으로 ) 기본적으로 우유는 비치요망. 

장점
객실 컨디션 좋음.
다른 호텔 하루가격에 이틀을 쉼.
직원 서비스 최고..지나쳐서 부담? ㅋㅋ
차로 강남 및 다른곳 이동하기 좋은 위치.
바로 옆에 편의점


유럽의 b&b 가격으로 컨디션 좋은 호텔에서 머물러서 좋았습니다. 또한 외국인들과 가족단위 방문객이 있어 숙박환경도 나쁘지 않았고요..단 식당의 몇가지 요소만 바꾸어도 글로벌 호텔 체인점보다 낳을듯 합니다. 아무쪼록 좋은 호텔로 외국 방문객들 넘쳐나길 바랍니다~ 
",4.8,2
2020.07.19,70287,sms**,"옥실 샤워기 옆에 옷걸이하나 없으면 수건, 입을 옷, 가운들은 도대체 어디에 두라는 말인지요. 그리고 데일리호텔에 올라와있는 사진과 실제방 사진이 달랐구요. 디럭스룸에 소파의자 대신  학교 책걸상 스러운 의자라서 실망. 접시하나 제대로 못 올려두는 탁자는 덜그럭거렸고 샤워기 쪽 물이 변기 쪽으로 침범하는 등 시설 전반은 디럭스룸 가격대비 너무 떨어집니다.",4.0,3
2020.03.12,70287,kum**,"비지니스차   여러 호텔들을 다니는데
가장   친절한 호텔이에요
조식도 레스토랑에서 대접 받는 기분으로   하루를 
기분좋게  시작하게 하는 곳이구요
다만 주차가 타워식인게 흠인데
차가 절대 조건이 아니라면 후회하진
않으실   겁니다",4.3,1
