reviewAt,code,nickname,comment,avgScore,helpfulCount
2022.01.28,66832,thd**,"자차 운전으로 접근성 좋고 근처가 하복대 번화가라 사먹을 곳도 많은거 알고 혼자 지낼거라 근처 숙박들중에 넘 외지않고 규모있고 깔끔한 곳을 찾다가 예약했는데 전체적으로 만족했습니다~:)
주차 지리 널널하고 혹 다 차더라도 따로 안내해주셔서 주차관련으로 걱정 1도 없어서 좋았어요.
스타일러있어서 좋았고 저녁때 친구와서 음식 포장해왔을때 소파있어서 편하게 먹었습니다! 욕조도 있고,  화장실 넓고 시원시원했어요. 다만 사진으로 보는 것 보단 방 사이즈는 작다고 생각하셔야 할 것 같아요ㅎㅎ
조식도 한강라면, 씨리얼, 토스트, 한식 등등으로 다양하게 제공되어서 야무지게 챙겨먹었습니다!
엘레베이터가 살짝만 움직여도 흔들리는거랑 안쪽에 머리카락이 있는 채로 침대시트가 끼워져있던걸 발견한거외에는 모두 다 좋아서 재방문의사있습니다!",4.5,0
2021.09.11,66832,ser**,"모든 부분에서 만족했습니다. 단 하나, 방 안에 베인 담배냄새인지 밖에서 들어오는 냄새인지은 알 수 없었으나 그 냄새가 계속 좀 났다는 거 의견 드립니다. 
너무 깨끗하고 좋은 시설때문에 잘 쉬고 올라왔네요. 
다음에 기회가 되면 다시 찾아뵐께요.",5.0,0
2021.07.23,66832,han**,"늘올때마다 직원들의 친절하고 새심한배려가 돋보이는 곳입니다.
주변 모텔들 혹시 호텔을 가장한 모텔들에 비해 시스템도 잘되어있고 여러모로 항상 만족하며 지내다갑니다.
로비도 넓고 좋습니다.
무료조식이지만 퀄리티 정말좋구요.
다만 이번 여행에서는 룸컨디션이 조금 좋지않았던게 청소하시는분이 먼지를 닦지않은듯합니다. 이부분 체크하셔야할듯.

그외 모든면에서 좋은 숙소입니다.
추천합니다",4.5,0
2021.07.04,66832,hbt**,"한달에3번정도  가는거같은데 너무만족한다는
밥도너무맛있고   청결또한정말 만족해요
오전에 카운터에 계시는 여자분도 너무친절하시고 저녁에 계시는남자분2분도  너무친절해요
일하시는분과  그리고 숙소 100점만점에 100점인거같습니다!!!",5.0,0
2023.01.03,66832,kim**,"터미널쪽에서 출발하는 거라 걸어서 15분 정도 걸렸어요.

침구 상태는 깔끔했고, 침대도 푹신해서 만족스러웠어요.
게다가 객실 업그레이드해주셔서 더욱 좋았어요!

다음에도 숙소가 필요하다면 다시 방문할 의사있습니다. 그만큼 가격대비 정말 만족스러웠어요!",4.3,0
2022.06.28,66832,cat**,"진짜 넓구 쾌적해요 스타일러도 있어요! 티비도 크고 넷플릭스 되고 욕조에 화장실과 샤워실도 다 구분되어 있구요 
넓은게 제일 좋았어요.. 
테이블 닦았을때 먼지가 좀 묻어났구, 샤워실과 세면대가 물이 안 빠져서 엄청 흘러넘쳤는데 이것만 빼면 시설은 전부 만족했어요",4.3,0
2022.05.11,66832,rla**,여행 도중에 급하게 잡았지만 잘 잡은 것 같아요! 저렴하고 고속도로 인근이라 여행시 잠시 묵고 가기 좋았어요~층간소음 살짝 있지만 거슬리는 정도도 아니였어요. 그런데 주말엔 손님이 많아서 주차가 좀 어려웠지만 만족스러웠어요 침대도 푹신하고 화장실이랑 샤워기 수압이 쎄서 좋었어요,4.3,0
2022.04.03,66832,dlt**,"가격대비 시설 훌륭해요~
직원분들 친절하시고 조식 좋았어요!
욕조도 큼직해서 몸담그고 반신욕했는데 
피로도 풀리고 잘 쉬다 갑니다!
그런데 안보이는 쪽 먼지는 어쩔수없나봐요~
지내다보니 먼지가 종종보였어요~",4.0,0
2021.07.30,66832,yha**,"오래된 호텔이라 깨끗하게 관리해주셔도 찜찜하더라구요 
수건은 너무 오래되서 구멍난것도 있고 ㅎㅎ
샤워커튼은 빼는게 좋을것같아요 곰팡이가 펴있어서 
볼때마다 기분이 좋지않았어요 
직원들 모두 친절했고 위치는 정말 좋았어요",4.0,0
2021.06.27,66832,rla**,"침구 깨끗하고 너무 좋았어요~ 중문(?)같은게 있어서 밖에 소리 안들리고 뱡음도 잘됐습니다! 물이랑 음료도 있어 좋았구요! 칫솔 치약 세면도구도 다 구비되어있어서 편했습니다:)
스타일러도 잘 작동하구요(그런데 물을 채우거나 비우시는걸 안해주셔서 직접했어요~)

아쉬운점은 바닥에 먼지가 약간 있는 부분 화장실에서 계속 원인모를 물이 흐른 자국이 계속 있어서 바닥 청결 조금만 더 신경써주시면 좋을것 같아요
그밖엔 짐 맡겨주시는 서비스도 있어서 매우 만족합니다~",4.3,0
2020.11.16,66832,lov**,"일에 집중해야 해서 나가지도 않고 배달 음식 시켜먹으며 이틀 연박으로 지내다 왔는데
깔끔하고 조용하고 공기청정기 계속 돌아가고 친절하시고^^
가격대비 잘 지내다 왔습니다, 다음에 또 이용할께용",4.0,0
2021.07.20,66832,ghh**,"처음 들어갔는데 바닥에 물기가 있어서 청소하고 바로나가셨구나하고 휴지로 물기닦아내다가 헐 했네요ㅜㅜ 계속 더러운게 나오는데 닦고 닦다 스트레스받을거같아서 중간에 포기했어요
물만 묻히지말고 꼭좀 깨끗하게 치우셨음 좋겠어요",3.5,2
2023.10.16,66832,blu**,쾌적하고 직원분들 친절하시네요,5.0,0
2023.06.10,66832,min**,"청소상태라고 할것도 없이 그냥 방치된 방상태였습니다.  머리카락 뭉쳐진것에 담배재떨이 굳어진게 바닥에 그대로있고. 화장실 문에는 10년 안닦은듯한 먼지 쌓여있고, 침대는 안치우고 시트만 한겹 씌워놨더라구요. 머리카락과 커다란 핏자국이 한겹아래 그대로 보여서 도저히 잘수가없어 그냥 나왔습니다..",1.3,0
2023.02.27,66832,dav**,"정말 전부 마음에 들었는데, 저는 분명 금연방을 예약했는데 방에서 담배냄새가 나서 그게 조금 힘들었어요. 많이 나진 않아서 그냥 쓰긴 했는데 왜인지는 모르겠네요",4.5,0
2023.02.03,66832,rzx**,방은 좋았는데 화장실에 하루살이가 너무 많았어요 ㅠㅠ... 근데 다른 방 묵었던 친구들은 없다고 하더라구요 저희가 묵었던 방만 있었나봐요 그래도 서비스는 최고!!👍👍,5.0,0
2021.09.27,66832,hir**,정말 담배 냄새가 안났어요 매쾌한 냄새가 났는데 그건 우드향 같은 거였어요 깨끗하고 좋았네요 욕조 마개가 고장난거 같던데 크게 신경 쓸 정도까진 아니었어요,4.8,0
