reviewAt,code,nickname,comment,avgScore,helpfulCount
2023.09.08,67307,p66**,"씻는데 수압 약하고 -  이건이해했어요
겉모습과 다른 안에 모습 낡은거
- 이것도 이해했어요 
씻고 나와 머리 말리는데
벽에 바퀴벌레가  ㅠㅠ 
동생과 둘이 소리지르며 어쩔수 없이 겨우 잡고
어떡하냐며 방도없고
밤에 다른숙소 옮기지도 못하고
그런와중에 침대옆으로 또 벌레가 ㅠㅠ
낡은거,먼지,곰팡이 다 이해합니다.
하지만 벌레들은 정말 신경 안쓰신게... ㅡㅡ
뜬눈으로 밤을새고 아침일찍 나왔네요
큰 도로가 앞에있어 교통편이나 편의시설은 매우 좋았습니다.",2.8,0
2022.03.06,67307,dar**,"아늑하고 침구류가 매우 좋았습니다.
부담되는 인테리어도 아니고 고전 느낌나서 좋았네요.
다만,  담배냄새 나서 환기를 종종해야 했지만 심하게 신경쓰일 정도는 아닙니다.
각잡고 가는 일정 보다 번개로 가기 좋다 정도!",4.5,0
2021.09.06,67307,vlz**,"친절하신 모든 직원분들이 다른곳에 
눈 돌릴 이유 없게 만드시네요:)

매번 이용할때 마다 
감동 받아 소소한 감동드릴때도 있지만
표현 드리지 못한 마음은 더 크답니다:)
오늘도?ㅋㅋ 잘 이용할 예정입니다:)
항상 고맙습니다:) 훗!!ㅋㅋ",5.0,0
2021.09.06,67307,vlz**,"다른곳에서는 찾아볼수 없는 
보너스 같은 서비스 선물에 감동입니다:)
요즘같은 환절기를 맞이 하는 
발빠른 세심한 센스 선물에 손이 촉쵹해 질 예정이에요!!ㅋㅋ
올 겨울은 세상에서 제일 쵹쵹한 손이 되겠네요!
감사합니다 :) 힛!",5.0,0
2023.08.07,67307,jun**,"그냥 출근을 위해서 최저가 숙소 잡은 것인데요.
침구, 욕실 등 딱 그 가격만큼의 낡은 모텔입니다. 

그럼에도 도로가에 있어 위치가 좋은 편이고, 창문도 있고, 에어컨도 시원하고, TV도 가격에 비해 큰 편입니다.

적당히 욕심 안 부리고 혼자 잠만 자고 나오기 좋습니다.",3.3,0
2023.10.22,67307,iss**,침구가 깨끗해서 잘 잤습니다,5.0,0
2023.10.21,67307,xxo**,방음은 그렇지만 가격대비 매우 좋았어요,4.8,0
2023.10.18,67307,iss**,침구가 깨끗해서 너무 잘 잤어요,5.0,0
2023.09.17,67307,lcy**,오래되긴 했는데 접근성 좋고 상태 괜찮은 것 같습니다 그리고 일단 싸요,4.5,0
2021.09.06,67307,vlz**,"자주 이용는데 이유가 있겠쬬!!
매번 만족하며 이용하지만
갈때마다 친절함에 반합니다:)
기분 좋게 해주신 만큼
늘 좋은 기분 되시길!!헷!",5.0,1
2021.03.27,67307,nel**, 친절하시고 전체적으로 깨끗했어요! 근데 화장실 문고리옆에 안열리게 고정해주는? 그부분이 망가져서 문이 스르르 열립니다 그거말고는 괜찮았습니다!,4.8,0
2019.07.14,67307,rul**,"주차장도 나름 넓직하나 들어가는 입구가 큰길에서 찾기가 어려워요 ㅠ

방에서 담배냄새는 어쩔수 없나봅니다.

이 가격에 이정도면 만족스러운거 같습니다 :)",5.0,0
2023.11.06,67307,csa**,무난하니 잘 이용했습니다,4.0,0
2023.03.17,67307,kyu**,"모든게 낡았고 오래됐어요. 리모델링 권장 합니다.
하지만 직원 적극적이고 친절하셨고 청소상태 좋았고
냄새도 안났어요. 낡은것 외에는 흠 잡을게 없었습니다.",4.3,0
2020.02.17,67307,her**,침구도 핳균 처리 되어 있구 깔끔합니다 무엇보다 위치가 찾기 편해서 도보로 5~7분 정도면 지하철역있고 버스정류장도 바로 앞에 위치해서 좋습니다,4.0,0
2017.04.06,67307,kri**,"가로수길이랑 가까워서 너무 좋았고
대로변이라 택시 잡기도 편하고
작지만 주차장도 있어서 주차도 되고
신사 강남쪽 놀러갈떄는 아주 좋습니다
시설도 깔끔하니 괜찮은편입니다

",4.3,0
2023.09.14,67307,eun**,신사역 압구정역 사이에 위치한 숙박 시설중 가장 저렴합니다.,3.5,0
2023.04.12,67307,ali**,"들어가자마자 담배냄새가 너무 심했어요.. 시간지나니까 적응됐는지 문열어놔서 빠졌는지
했는데 아침에 씻고 방에
다시 들어오니까 냄새가 계속 나더라구요..",3.5,0
2023.09.14,67307,iss**,침구가 너무 깨끗해서 잘 잤어요,5.0,0
2023.09.06,67307,iss**,침구가 너무 깨끗해서 잘 잤어요,5.0,0
2023.08.14,67307,iss**,침구가 깨끅해서 잠을 잘 잤습니다,5.0,0
2022.10.17,67307,vlz**,"매번 친절히 편안하게 잘 이용하고 지내다 갑니다:)
접근성도 좋아서 정말 좋았어요!
감사합니다:)",5.0,0
2021.09.06,67307,vlz**,위치가 너무 좋고 그보다 친절하게 편안하게 대해 주시는 덕분에 항상 기분 좋게 이용합니다:)꺅!,5.0,0
2023.03.26,67307,vol**,일 관계로 처음 간 곳인데 편하게  묵었습니다. 화장실 문이 안 잠기는것 빼고는 만족합니다. 재방문 의사 있습니다.,4.3,0
2022.12.30,67307,ksh**,"가격이 저렴하기에 많은걸 바란건 아니지만
추억돋는 냄새에 ..무엇보다 호텔이던 모텔이던 자면서 손발이 시리고 얼굴이 시려보긴 처음이라 .알수없는 찬바람의 정체.",2.5,0
2022.06.18,67307,swe**,"주차공간이 부족하고
에어컨물이세서 큰수건 깔아놓고 잤어요ㅜㅡ
프론트에 계신분은 친절하셨어요 
세면대물도 잘안빠져요",3.5,0
2019.08.16,67307,xo_**,접근성 좋아서 위치는 좋지만 청결은 그닥... 메트리스 더럽고 침대에 머리카락 잇더라구요ㅎㅎ,3.5,2
2023.07.30,67307,iss**,침구가 꺄끗해서 편하게 잘 잤습니다,5.0,0
2023.07.26,67307,iss**,침구가 깨끗해서 너무 잘 잤어요,5.0,0
2023.07.11,67307,iss**,침구가 너무 깨꿋해서 잘 잤습니다,5.0,0
2023.06.30,67307,iss**,침구가 깨끗 해서 너무 좋았어요,5.0,0
2023.06.11,67307,iss**,침구가 깨끗해서 너무 좋았습니다,5.0,0
2023.05.08,67307,lcy**,오래된 숙소긴 하지만 전반적으로 깔끔했던 것 같습니다 냄새도 안 났어요.,4.5,0
2022.09.22,67307,knh**,"모기 잡아도잡아도 계속나오고 이불에 먼지 엄청많고 중요한건 씻으려고 하는데 수건이 없음..
카운터가서 말해서 가져가줌. 에어컨이 안시원함.",1.5,1
2022.03.19,67307,qkr**,"시설은 좀 노후 된 듯 했으나
방이 따뜻하고 침구류가 좋았어요 :)",5.0,0
2021.07.07,67307,vlz**,"친절하신 덕분에 다른곳을 못가겠네요:)
늘 감사합니다:)",5.0,0
2017.07.07,67307,sun**,늦은 시간에 체크인 했음에도 불구하고 친절하고 좋았어요 ,5.0,0
2023.01.18,67307,sjl**,깔끔하고 복도에서 약간 담배냄새가 나긴 했지만 방 자체는 워낙 쾌적하고 좋았어요.,4.3,0
2022.12.10,67307,p17**,"너무더웠어요..

엘리베이터갗고장나서 왔다갔다 힘들었구요

계단에 이미 세탁해놓은 침대요가 있어서 더러웠어요",3.0,0
2017.10.21,67307,kas**,"생각보다 괜찮았어요
근데 화장실에서 담배냄새가 많이 나긴해요",4.3,1
2017.05.10,67307,kri**,"위치 하나는 기가 막히네요
시설도 나쁘지 않고 무난해요",4.0,0
